year,tract,Article_Count
2011.0,91400.0,1.0
2011.0,110601.0,1.0
2011.0,981000.0,2.0
2011.0,100603.0,1.0
2011.0,140300.0,1.0
2011.0,82000.0,2.0
2011.0,170400.0,1.0
2011.0,160300.0,1.0
2011.0,81900.0,1.0
2011.0,140102.0,1.0
2011.0,51200.0,1.0
2011.0,130402.0,1.0
2011.0,160601.0,1.0
2011.0,91900.0,1.0
2011.0,120700.0,1.0
2011.0,60301.0,1.0
2011.0,110401.0,1.0
2011.0,130300.0,1.0
,201.0,1.0
,301.0,1.0
,401.0,1.0
,503.0,1.0
,10403.0,1.0
,10408.0,1.0
,10801.0,1.0
,10802.0,1.0
,20200.0,1.0
,30100.0,1.0
,40200.0,1.0
,50101.0,1.0
,50200.0,1.0
,50500.0,1.0
,50600.0,1.0
,51000.0,1.0
,51101.0,1.0
,60101.0,1.0
,60200.0,1.0
,60700.0,1.0
,61000.0,1.0
,61101.0,1.0
,80500.0,1.0
,81200.0,1.0
,81800.0,1.0
,82100.0,1.0
,90200.0,1.0
,90400.0,1.0
,91100.0,1.0
,91500.0,1.0
,91700.0,1.0
,92300.0,1.0
,100200.0,1.0
,100300.0,1.0
,100400.0,1.0
,100601.0,1.0
,101101.0,1.0
,110103.0,1.0
,110201.0,1.0
,110301.0,1.0
,110501.0,1.0
,120103.0,1.0
,120104.0,1.0
,120500.0,1.0
,120600.0,1.0
,130406.0,1.0
,140105.0,1.0
,140106.0,1.0
,140202.0,1.0
,160101.0,1.0
,160200.0,1.0
,160400.0,1.0
,160501.0,1.0
,160502.0,1.0
,160602.0,1.0
,170100.0,1.0
,170200.0,1.0
,170300.0,1.0
,170501.0,1.0
,170502.0,1.0
,170701.0,1.0
,170702.0,1.0
,170800.0,1.0
,180101.0,1.0
,180200.0,1.0
,180301.0,1.0
,180400.0,1.0
,180500.0,1.0
,980700.0,1.0
,981100.0,1.0
,981600.0,1.0
2012.0,140400.0,2.0
2012.0,20303.0,183.0
2012.0,30300.0,1108.0
2012.0,10600.0,31.0
2012.0,70101.0,72.0
2012.0,92000.0,16.0
2012.0,10203.0,136.0
2012.0,10405.0,20.0
2012.0,10404.0,15.0
2012.0,101002.0,3.0
2012.0,70200.0,21.0
2012.0,803.0,13.0
2012.0,502.0,46.0
2012.0,990101.0,14.0
2012.0,981300.0,24.0
2012.0,40600.0,8.0
2012.0,10702.0,28.0
2012.0,50901.0,3.0
2012.0,40100.0,2.0
2012.0,100800.0,2.0
2012.0,40801.0,4.0
2012.0,981700.0,41.0
2012.0,80300.0,2.0
2012.0,70402.0,4.0
2012.0,81001.0,15.0
2012.0,704.0,4.0
2012.0,71201.0,20.0
2012.0,91100.0,1.0
2012.0,20302.0,50.0
2012.0,601.0,4.0
2012.0,20301.0,28.0
2012.0,80601.0,10.0
2012.0,981501.0,7.0
2012.0,100.0,6.0
2012.0,81700.0,18.0
2012.0,10701.0,13.0
2012.0,60600.0,27.0
2012.0,90901.0,29.0
2012.0,120400.0,7.0
2012.0,402.0,6.0
2012.0,90700.0,4.0
2012.0,10300.0,25.0
2012.0,130300.0,1.0
2012.0,50300.0,4.0
2012.0,10103.0,23.0
2012.0,80401.0,5.0
2012.0,70300.0,17.0
2012.0,981201.0,3.0
2012.0,60501.0,4.0
2012.0,81400.0,5.0
2012.0,110401.0,1.0
2012.0,130100.0,1.0
2012.0,981202.0,7.0
2012.0,91600.0,2.0
2012.0,30400.0,4.0
2012.0,40300.0,9.0
2012.0,10204.0,3.0
2012.0,61200.0,12.0
2012.0,110607.0,2.0
2012.0,110601.0,1.0
2012.0,981800.0,11.0
2012.0,71101.0,15.0
2012.0,802.0,3.0
2012.0,302.0,2.0
2012.0,140300.0,4.0
2012.0,70500.0,7.0
2012.0,60800.0,1.0
2012.0,981502.0,5.0
2012.0,82000.0,1.0
2012.0,50500.0,1.0
2012.0,110103.0,1.0
2012.0,10500.0,3.0
2012.0,160200.0,1.0
2012.0,160400.0,3.0
2012.0,110403.0,1.0
2012.0,50101.0,1.0
2012.0,20200.0,1.0
2012.0,170501.0,1.0
2012.0,70600.0,1.0
2012.0,100100.0,2.0
2012.0,30200.0,3.0
2012.0,120201.0,2.0
2012.0,130402.0,2.0
2012.0,170601.0,1.0
2012.0,120103.0,1.0
2012.0,401.0,1.0
2012.0,80100.0,5.0
2012.0,40401.0,1.0
2012.0,981100.0,3.0
2012.0,10104.0,2.0
2012.0,602.0,3.0
2012.0,60301.0,1.0
2012.0,90600.0,1.0
2012.0,81300.0,2.0
2012.0,170502.0,1.0
2012.0,50700.0,1.0
2012.0,91400.0,1.0
2012.0,80801.0,1.0
2012.0,92200.0,3.0
2012.0,60700.0,1.0
2012.0,120301.0,5.0
2012.0,120105.0,3.0
2012.0,20101.0,1.0
2012.0,101101.0,1.0
2012.0,90300.0,1.0
2012.0,120500.0,1.0
2012.0,160601.0,2.0
2012.0,120700.0,1.0
2012.0,90200.0,1.0
2012.0,30500.0,2.0
2012.0,81800.0,1.0
2012.0,60400.0,1.0
2012.0,92400.0,1.0
2012.0,110502.0,2.0
2012.0,82100.0,1.0
2012.0,110301.0,2.0
2012.0,101001.0,1.0
2012.0,40200.0,2.0
2017.0,81900.0,2.0
2017.0,70800.0,1.0
2017.0,70700.0,1.0
2017.0,10802.0,2.0
2017.0,120104.0,1.0
2017.0,100900.0,1.0
2017.0,140102.0,1.0
2017.0,100700.0,1.0
2017.0,130200.0,1.0
2017.0,100200.0,1.0
2017.0,703.0,1.0
2017.0,120600.0,1.0
2017.0,80500.0,1.0
2017.0,140202.0,1.0
2017.0,980101.0,1.0
2017.0,130404.0,1.0
2017.0,100400.0,1.0
2017.0,92101.0,1.0
,201.0,1.0
,202.0,1.0
,301.0,1.0
,503.0,1.0
,504.0,1.0
,701.0,1.0
,10403.0,1.0
,10408.0,1.0
,10801.0,1.0
,30100.0,1.0
,50200.0,1.0
,50400.0,1.0
,50600.0,1.0
,51000.0,1.0
,51101.0,1.0
,51200.0,1.0
,60101.0,1.0
,60200.0,1.0
,61000.0,1.0
,61101.0,1.0
,70900.0,1.0
,80900.0,1.0
,81100.0,1.0
,81200.0,1.0
,81500.0,1.0
,90100.0,1.0
,90400.0,1.0
,91001.0,1.0
,91200.0,1.0
,91300.0,1.0
,91500.0,1.0
,91700.0,1.0
,91800.0,1.0
,91900.0,1.0
,92300.0,1.0
,100300.0,1.0
,100500.0,1.0
,100601.0,1.0
,100603.0,1.0
,101102.0,1.0
,110201.0,1.0
,110501.0,1.0
,130406.0,1.0
,140105.0,1.0
,140106.0,1.0
,140107.0,1.0
,140201.0,1.0
,160101.0,1.0
,160300.0,1.0
,160501.0,1.0
,160502.0,1.0
,160602.0,1.0
,170100.0,1.0
,170200.0,1.0
,170300.0,1.0
,170400.0,1.0
,170701.0,1.0
,170702.0,1.0
,170800.0,1.0
,180101.0,1.0
,180200.0,1.0
,180301.0,1.0
,180400.0,1.0
,180500.0,1.0
,980300.0,1.0
,980700.0,1.0
,981000.0,1.0
,981600.0,1.0
2013.0,30300.0,970.0
2013.0,10104.0,4.0
2013.0,20303.0,204.0
2013.0,81700.0,18.0
2013.0,100500.0,9.0
2013.0,70101.0,107.0
2013.0,10300.0,29.0
2013.0,10203.0,167.0
2013.0,10702.0,35.0
2013.0,20301.0,30.0
2013.0,981700.0,22.0
2013.0,10405.0,19.0
2013.0,502.0,51.0
2013.0,90100.0,2.0
2013.0,120105.0,4.0
2013.0,20302.0,31.0
2013.0,10103.0,27.0
2013.0,120400.0,8.0
2013.0,70300.0,15.0
2013.0,981300.0,11.0
2013.0,981502.0,20.0
2013.0,90901.0,30.0
2013.0,61200.0,13.0
2013.0,70200.0,16.0
2013.0,100.0,2.0
2013.0,40300.0,8.0
2013.0,10404.0,26.0
2013.0,110103.0,3.0
2013.0,80601.0,5.0
2013.0,81200.0,5.0
2013.0,10701.0,15.0
2013.0,50901.0,7.0
2013.0,81001.0,16.0
2013.0,100601.0,2.0
2013.0,130404.0,4.0
2013.0,60600.0,21.0
2013.0,40600.0,5.0
2013.0,110607.0,6.0
2013.0,981501.0,8.0
2013.0,402.0,4.0
2013.0,10600.0,16.0
2013.0,120201.0,4.0
2013.0,110502.0,1.0
2013.0,71201.0,18.0
2013.0,80401.0,4.0
2013.0,10500.0,3.0
2013.0,92000.0,10.0
2013.0,91800.0,3.0
2013.0,80300.0,4.0
2013.0,602.0,2.0
2013.0,981600.0,1.0
2013.0,100700.0,1.0
2013.0,70500.0,6.0
2013.0,140105.0,1.0
2013.0,71101.0,8.0
2013.0,80100.0,5.0
2013.0,81100.0,2.0
2013.0,30400.0,4.0
2013.0,981202.0,7.0
2013.0,704.0,4.0
2013.0,981800.0,7.0
2013.0,120700.0,1.0
2013.0,81400.0,7.0
2013.0,30200.0,7.0
2013.0,180101.0,1.0
2013.0,82000.0,7.0
2013.0,100900.0,2.0
2013.0,91200.0,2.0
2013.0,81900.0,1.0
2013.0,110403.0,1.0
2013.0,504.0,1.0
2013.0,803.0,9.0
2013.0,91100.0,1.0
2013.0,40801.0,5.0
2013.0,120500.0,1.0
2013.0,170601.0,1.0
2013.0,130300.0,3.0
2013.0,91001.0,6.0
2013.0,50300.0,5.0
2013.0,120301.0,2.0
2013.0,20200.0,2.0
2013.0,60501.0,8.0
2013.0,91700.0,1.0
2013.0,130100.0,3.0
2013.0,110601.0,4.0
2013.0,990101.0,3.0
2013.0,101102.0,2.0
2013.0,802.0,6.0
2013.0,130200.0,1.0
2013.0,981201.0,1.0
2013.0,160601.0,2.0
2013.0,980700.0,1.0
2013.0,81300.0,3.0
2013.0,70700.0,1.0
2013.0,160200.0,2.0
2013.0,302.0,1.0
2013.0,91900.0,1.0
2013.0,10204.0,1.0
2013.0,980300.0,1.0
2013.0,50400.0,1.0
2013.0,981100.0,3.0
2013.0,100603.0,1.0
2013.0,90700.0,4.0
2013.0,60800.0,1.0
2013.0,160602.0,1.0
2013.0,60400.0,1.0
2013.0,100800.0,1.0
2013.0,170800.0,1.0
2013.0,51200.0,1.0
2013.0,90200.0,1.0
2013.0,51101.0,1.0
2013.0,120600.0,1.0
2013.0,703.0,1.0
2013.0,20101.0,2.0
2013.0,92200.0,1.0
2013.0,51000.0,2.0
2013.0,60301.0,1.0
2013.0,140201.0,1.0
2013.0,101101.0,1.0
2013.0,70402.0,1.0
2013.0,92101.0,1.0
2013.0,140102.0,2.0
2013.0,40200.0,1.0
2013.0,120103.0,1.0
2013.0,40100.0,1.0
2013.0,90300.0,1.0
2013.0,101002.0,1.0
,201.0,1.0
,202.0,1.0
,301.0,1.0
,401.0,1.0
,503.0,1.0
,601.0,1.0
,701.0,1.0
,10403.0,1.0
,10408.0,1.0
,10801.0,1.0
,10802.0,1.0
,30100.0,1.0
,30500.0,1.0
,40401.0,1.0
,50101.0,1.0
,50200.0,1.0
,50500.0,1.0
,50600.0,1.0
,50700.0,1.0
,60101.0,1.0
,60200.0,1.0
,60700.0,1.0
,61000.0,1.0
,61101.0,1.0
,70600.0,1.0
,70800.0,1.0
,70900.0,1.0
,80500.0,1.0
,80801.0,1.0
,80900.0,1.0
,81500.0,1.0
,81800.0,1.0
,82100.0,1.0
,90400.0,1.0
,90600.0,1.0
,91300.0,1.0
,91400.0,1.0
,91500.0,1.0
,91600.0,1.0
,92300.0,1.0
,92400.0,1.0
,100100.0,1.0
,100200.0,1.0
,100300.0,1.0
,100400.0,1.0
,101001.0,1.0
,110201.0,1.0
,110301.0,1.0
,110401.0,1.0
,110501.0,1.0
,120104.0,1.0
,130402.0,1.0
,130406.0,1.0
,140106.0,1.0
,140107.0,1.0
,140202.0,1.0
,140300.0,1.0
,140400.0,1.0
,160101.0,1.0
,160300.0,1.0
,160400.0,1.0
,160501.0,1.0
,160502.0,1.0
,170100.0,1.0
,170200.0,1.0
,170300.0,1.0
,170400.0,1.0
,170501.0,1.0
,170502.0,1.0
,170701.0,1.0
,170702.0,1.0
,180200.0,1.0
,180301.0,1.0
,180400.0,1.0
,180500.0,1.0
,980101.0,1.0
,981000.0,1.0
2014.0,20303.0,159.0
2014.0,30300.0,1101.0
2014.0,20302.0,57.0
2014.0,10204.0,8.0
2014.0,60600.0,34.0
2014.0,10203.0,191.0
2014.0,10405.0,15.0
2014.0,981700.0,37.0
2014.0,10300.0,19.0
2014.0,80100.0,7.0
2014.0,70101.0,87.0
2014.0,50901.0,5.0
2014.0,92400.0,1.0
2014.0,502.0,49.0
2014.0,90901.0,30.0
2014.0,981300.0,11.0
2014.0,120301.0,4.0
2014.0,981501.0,4.0
2014.0,10702.0,29.0
2014.0,981502.0,21.0
2014.0,10600.0,28.0
2014.0,40300.0,8.0
2014.0,10701.0,22.0
2014.0,140300.0,6.0
2014.0,10103.0,15.0
2014.0,91900.0,3.0
2014.0,990101.0,5.0
2014.0,91001.0,4.0
2014.0,81001.0,11.0
2014.0,803.0,12.0
2014.0,180200.0,1.0
2014.0,802.0,10.0
2014.0,10404.0,22.0
2014.0,70900.0,3.0
2014.0,71201.0,19.0
2014.0,81700.0,17.0
2014.0,61200.0,24.0
2014.0,20301.0,17.0
2014.0,170601.0,1.0
2014.0,30100.0,1.0
2014.0,70200.0,10.0
2014.0,70300.0,29.0
2014.0,100.0,6.0
2014.0,110607.0,3.0
2014.0,90300.0,2.0
2014.0,140102.0,1.0
2014.0,981800.0,15.0
2014.0,60501.0,12.0
2014.0,110403.0,3.0
2014.0,91200.0,2.0
2014.0,90600.0,2.0
2014.0,130406.0,1.0
2014.0,81800.0,2.0
2014.0,80601.0,4.0
2014.0,20200.0,3.0
2014.0,981202.0,3.0
2014.0,92000.0,9.0
2014.0,704.0,2.0
2014.0,120700.0,2.0
2014.0,70500.0,5.0
2014.0,71101.0,11.0
2014.0,40600.0,16.0
2014.0,100500.0,3.0
2014.0,30200.0,5.0
2014.0,82000.0,4.0
2014.0,981201.0,3.0
2014.0,70402.0,3.0
2014.0,120105.0,1.0
2014.0,601.0,1.0
2014.0,110502.0,5.0
2014.0,10104.0,3.0
2014.0,110103.0,5.0
2014.0,40801.0,1.0
2014.0,120400.0,3.0
2014.0,50700.0,2.0
2014.0,170502.0,1.0
2014.0,40401.0,2.0
2014.0,20101.0,7.0
2014.0,140107.0,1.0
2014.0,81300.0,7.0
2014.0,80401.0,4.0
2014.0,70600.0,2.0
2014.0,160200.0,3.0
2014.0,50101.0,1.0
2014.0,60800.0,3.0
2014.0,92300.0,1.0
2014.0,50600.0,1.0
2014.0,981000.0,1.0
2014.0,160400.0,2.0
2014.0,30400.0,1.0
2014.0,60200.0,1.0
2014.0,92101.0,1.0
2014.0,100700.0,1.0
2014.0,10500.0,5.0
2014.0,980300.0,1.0
2014.0,91600.0,1.0
2014.0,130404.0,2.0
2014.0,170701.0,1.0
2014.0,90700.0,2.0
2014.0,110201.0,1.0
2014.0,701.0,1.0
2014.0,981100.0,2.0
2014.0,602.0,2.0
2014.0,70700.0,2.0
2014.0,100200.0,1.0
2014.0,51000.0,1.0
2014.0,703.0,3.0
2014.0,81400.0,1.0
2014.0,130200.0,1.0
2014.0,101102.0,2.0
2014.0,100603.0,1.0
2014.0,30500.0,1.0
2014.0,130402.0,1.0
2014.0,130100.0,1.0
2014.0,100300.0,1.0
2014.0,140202.0,1.0
2014.0,160602.0,1.0
2014.0,90100.0,1.0
2014.0,40100.0,1.0
2014.0,101001.0,1.0
,201.0,1.0
,202.0,1.0
,301.0,1.0
,302.0,1.0
,401.0,1.0
,402.0,1.0
,503.0,1.0
,504.0,1.0
,10403.0,1.0
,10408.0,1.0
,10801.0,1.0
,10802.0,1.0
,40200.0,1.0
,50200.0,1.0
,50300.0,1.0
,50400.0,1.0
,50500.0,1.0
,51101.0,1.0
,51200.0,1.0
,60101.0,1.0
,60301.0,1.0
,60400.0,1.0
,60700.0,1.0
,61000.0,1.0
,61101.0,1.0
,70800.0,1.0
,80300.0,1.0
,80500.0,1.0
,80801.0,1.0
,80900.0,1.0
,81100.0,1.0
,81200.0,1.0
,81500.0,1.0
,81900.0,1.0
,82100.0,1.0
,90200.0,1.0
,90400.0,1.0
,91100.0,1.0
,91300.0,1.0
,91400.0,1.0
,91500.0,1.0
,91700.0,1.0
,91800.0,1.0
,92200.0,1.0
,100100.0,1.0
,100400.0,1.0
,100601.0,1.0
,100800.0,1.0
,100900.0,1.0
,101002.0,1.0
,101101.0,1.0
,110301.0,1.0
,110401.0,1.0
,110501.0,1.0
,110601.0,1.0
,120103.0,1.0
,120104.0,1.0
,120201.0,1.0
,120500.0,1.0
,120600.0,1.0
,130300.0,1.0
,140105.0,1.0
,140106.0,1.0
,140201.0,1.0
,140400.0,1.0
,160101.0,1.0
,160300.0,1.0
,160501.0,1.0
,160502.0,1.0
,160601.0,1.0
,170100.0,1.0
,170200.0,1.0
,170300.0,1.0
,170400.0,1.0
,170501.0,1.0
,170702.0,1.0
,170800.0,1.0
,180101.0,1.0
,180301.0,1.0
,180400.0,1.0
,180500.0,1.0
,980101.0,1.0
,980700.0,1.0
,981600.0,1.0
2015.0,30300.0,1023.0
2015.0,10203.0,160.0
2015.0,10600.0,35.0
2015.0,20303.0,164.0
2015.0,90600.0,3.0
2015.0,10300.0,27.0
2015.0,10404.0,17.0
2015.0,40801.0,7.0
2015.0,140107.0,5.0
2015.0,90901.0,30.0
2015.0,81700.0,19.0
2015.0,60600.0,33.0
2015.0,40600.0,3.0
2015.0,10405.0,17.0
2015.0,120400.0,9.0
2015.0,70200.0,26.0
2015.0,70101.0,88.0
2015.0,981800.0,14.0
2015.0,71201.0,8.0
2015.0,704.0,3.0
2015.0,10702.0,35.0
2015.0,980101.0,2.0
2015.0,502.0,38.0
2015.0,20302.0,47.0
2015.0,30500.0,5.0
2015.0,981502.0,10.0
2015.0,61200.0,23.0
2015.0,100500.0,2.0
2015.0,70500.0,3.0
2015.0,20301.0,21.0
2015.0,110103.0,2.0
2015.0,130404.0,6.0
2015.0,110301.0,1.0
2015.0,10801.0,3.0
2015.0,120103.0,1.0
2015.0,70600.0,1.0
2015.0,70300.0,28.0
2015.0,60501.0,8.0
2015.0,981300.0,13.0
2015.0,981202.0,3.0
2015.0,110607.0,1.0
2015.0,92000.0,5.0
2015.0,80100.0,8.0
2015.0,981700.0,45.0
2015.0,120105.0,2.0
2015.0,50300.0,3.0
2015.0,40300.0,9.0
2015.0,71101.0,13.0
2015.0,981501.0,9.0
2015.0,20101.0,5.0
2015.0,81001.0,12.0
2015.0,120700.0,2.0
2015.0,81400.0,6.0
2015.0,10204.0,5.0
2015.0,81200.0,3.0
2015.0,160400.0,1.0
2015.0,51200.0,2.0
2015.0,10103.0,28.0
2015.0,80300.0,4.0
2015.0,70402.0,4.0
2015.0,80601.0,11.0
2015.0,40100.0,6.0
2015.0,10701.0,17.0
2015.0,803.0,16.0
2015.0,110601.0,1.0
2015.0,30200.0,5.0
2015.0,50901.0,6.0
2015.0,30100.0,1.0
2015.0,981201.0,1.0
2015.0,140102.0,5.0
2015.0,91200.0,4.0
2015.0,602.0,2.0
2015.0,402.0,3.0
2015.0,981000.0,1.0
2015.0,80401.0,6.0
2015.0,170501.0,1.0
2015.0,20200.0,3.0
2015.0,980300.0,1.0
2015.0,990101.0,3.0
2015.0,81300.0,1.0
2015.0,100.0,3.0
2015.0,130402.0,1.0
2015.0,70900.0,1.0
2015.0,180200.0,1.0
2015.0,40200.0,1.0
2015.0,120301.0,7.0
2015.0,91900.0,2.0
2015.0,981100.0,1.0
2015.0,51101.0,2.0
