year,tract,Article_Count
2019.0,020303,345.0
2019.0,030300,987.0
2019.0,070101,64.0
2019.0,010203,171.0
2019.0,090901,15.0
2019.0,081700,26.0
2019.0,010300,25.0
2019.0,061200,23.0
2019.0,000502,40.0
2019.0,060600,27.0
2019.0,030200,4.0
2019.0,981201,1.0
2019.0,081400,2.0
2019.0,092000,1.0
2019.0,080601,9.0
2019.0,981300,12.0
2019.0,100200,2.0
2019.0,070300,21.0
2019.0,981700,18.0
2019.0,071201,12.0
2019.0,010600,25.0
2019.0,000802,2.0
2019.0,000602,2.0
2019.0,071101,15.0
2019.0,110607,5.0
2019.0,090700,4.0
2019.0,000803,6.0
2019.0,000100,10.0
2019.0,020302,41.0
2019.0,010404,17.0
2019.0,981202,7.0
2019.0,010702,19.0
2019.0,010104,2.0
2019.0,100800,1.0
2019.0,020301,33.0
2019.0,130404,2.0
2019.0,080100,4.0
2019.0,000301,3.0
2019.0,050700,1.0
2019.0,070402,3.0
2019.0,000401,1.0
2019.0,070200,20.0
2019.0,050901,3.0
2019.0,981800,7.0
2019.0,000504,1.0
2019.0,082000,5.0
2019.0,110103,2.0
2019.0,010103,22.0
2019.0,160101,1.0
2019.0,110601,2.0
2019.0,100500,3.0
2019.0,101001,1.0
2019.0,060400,2.0
2019.0,980300,3.0
2019.0,140300,2.0
2019.0,110401,1.0
2019.0,080401,2.0
2019.0,050300,1.0
2019.0,990101,6.0
2019.0,030400,3.0
2019.0,081001,13.0
2019.0,160400,4.0
2019.0,100601,1.0
2019.0,090400,1.0
2019.0,040600,4.0
2019.0,091800,1.0
2019.0,981501,8.0
2019.0,040300,5.0
2019.0,010405,16.0
2019.0,010204,6.0
2019.0,010701,8.0
2019.0,030500,1.0
2019.0,170601,1.0
2019.0,110502,2.0
2019.0,981502,2.0
2019.0,000202,1.0
2019.0,100100,2.0
2019.0,070700,3.0
2019.0,020101,2.0
2019.0,040801,3.0
2019.0,081900,1.0
2019.0,040401,1.0
2019.0,010500,2.0
2019.0,120105,4.0
2019.0,081300,1.0
2019.0,070500,2.0
2019.0,091600,2.0
2019.0,070800,1.0
2019.0,092200,1.0
2019.0,101102,1.0
2019.0,140102,5.0
2019.0,160300,1.0
2019.0,000703,1.0
2019.0,140105,3.0
2019.0,000601,1.0
2019.0,130200,1.0
2019.0,120700,1.0
2019.0,080500,1.0
2019.0,981600,1.0
2019.0,090100,1.0
2019.0,120400,2.0
2019.0,050200,2.0
2019.0,081800,2.0
2019.0,080900,1.0
2019.0,040100,1.0
2019.0,110403,1.0
2019.0,092101,1.0
2019.0,000402,2.0
2019.0,020200,2.0
2019.0,160200,1.0
2019.0,050600,1.0
2019.0,080801,2.0
2019.0,981100,2.0
2019.0,010802,2.0
2019.0,091200,1.0
2019.0,140202,1.0
2019.0,120301,1.0
2019.0,091001,1.0
2019.0,120201,2.0
2019.0,090300,1.0
2019.0,140107,2.0
2019.0,081100,1.0
2019.0,081200,1.0
2019.0,010801,1.0
2019.0,060501,1.0
2019.0,061101,1.0
,000201,1.0
,000302,1.0
,000503,1.0
,000701,1.0
,000704,1.0
,010403,1.0
,010408,1.0
,030100,1.0
,040200,1.0
,050101,1.0
,050400,1.0
,050500,1.0
,051000,1.0
,051101,1.0
,051200,1.0
,060101,1.0
,060200,1.0
,060301,1.0
,060700,1.0
,060800,1.0
,061000,1.0
,070600,1.0
,070900,1.0
,080300,1.0
,081500,1.0
,082100,1.0
,090200,1.0
,090600,1.0
,091100,1.0
,091300,1.0
,091400,1.0
,091500,1.0
,091700,1.0
,091900,1.0
,092300,1.0
,092400,1.0
,100300,1.0
,100400,1.0
,100603,1.0
,100700,1.0
,100900,1.0
,101002,1.0
,101101,1.0
,110201,1.0
,110301,1.0
,110501,1.0
,120103,1.0
,120104,1.0
,120500,1.0
,120600,1.0
,130100,1.0
,130300,1.0
,130402,1.0
,130406,1.0
,140106,1.0
,140201,1.0
,140400,1.0
,160501,1.0
,160502,1.0
,160601,1.0
,160602,1.0
,170100,1.0
,170200,1.0
,170300,1.0
,170400,1.0
,170501,1.0
,170502,1.0
,170701,1.0
,170702,1.0
,170800,1.0
,180101,1.0
,180200,1.0
,180301,1.0
,180400,1.0
,180500,1.0
,980101,1.0
,980700,1.0
,981000,1.0
