year,tract,Article_Count
2014.0,020303,159.0
2014.0,030300,1101.0
2014.0,020302,57.0
2014.0,010204,8.0
2014.0,060600,34.0
2014.0,010203,191.0
2014.0,010405,15.0
2014.0,981700,37.0
2014.0,010300,19.0
2014.0,080100,7.0
2014.0,070101,87.0
2014.0,050901,5.0
2014.0,092400,1.0
2014.0,000502,49.0
2014.0,090901,30.0
2014.0,981300,11.0
2014.0,120301,4.0
2014.0,981501,4.0
2014.0,010702,29.0
2014.0,981502,21.0
2014.0,010600,28.0
2014.0,040300,8.0
2014.0,010701,22.0
2014.0,140300,6.0
2014.0,010103,15.0
2014.0,091900,3.0
2014.0,990101,5.0
2014.0,091001,4.0
2014.0,081001,11.0
2014.0,000803,12.0
2014.0,180200,1.0
2014.0,000802,10.0
2014.0,010404,22.0
2014.0,070900,3.0
2014.0,071201,19.0
2014.0,081700,17.0
2014.0,061200,24.0
2014.0,020301,17.0
2014.0,170601,1.0
2014.0,030100,1.0
2014.0,070200,10.0
2014.0,070300,29.0
2014.0,000100,6.0
2014.0,110607,3.0
2014.0,090300,2.0
2014.0,140102,1.0
2014.0,981800,15.0
2014.0,060501,12.0
2014.0,110403,3.0
2014.0,091200,2.0
2014.0,090600,2.0
2014.0,130406,1.0
2014.0,081800,2.0
2014.0,080601,4.0
2014.0,020200,3.0
2014.0,981202,3.0
2014.0,092000,9.0
2014.0,000704,2.0
2014.0,120700,2.0
2014.0,070500,5.0
2014.0,071101,11.0
2014.0,040600,16.0
2014.0,100500,3.0
2014.0,030200,5.0
2014.0,082000,4.0
2014.0,981201,3.0
2014.0,070402,3.0
2014.0,120105,1.0
2014.0,000601,1.0
2014.0,110502,5.0
2014.0,010104,3.0
2014.0,110103,5.0
2014.0,040801,1.0
2014.0,120400,3.0
2014.0,050700,2.0
2014.0,170502,1.0
2014.0,040401,2.0
2014.0,020101,7.0
2014.0,140107,1.0
2014.0,081300,7.0
2014.0,080401,4.0
2014.0,070600,2.0
2014.0,160200,3.0
2014.0,050101,1.0
2014.0,060800,3.0
2014.0,092300,1.0
2014.0,050600,1.0
2014.0,981000,1.0
2014.0,160400,2.0
2014.0,030400,1.0
2014.0,060200,1.0
2014.0,092101,1.0
2014.0,100700,1.0
2014.0,010500,5.0
2014.0,980300,1.0
2014.0,091600,1.0
2014.0,130404,2.0
2014.0,170701,1.0
2014.0,090700,2.0
2014.0,110201,1.0
2014.0,000701,1.0
2014.0,981100,2.0
2014.0,000602,2.0
2014.0,070700,2.0
2014.0,100200,1.0
2014.0,051000,1.0
2014.0,000703,3.0
2014.0,081400,1.0
2014.0,130200,1.0
2014.0,101102,2.0
2014.0,100603,1.0
2014.0,030500,1.0
2014.0,130402,1.0
2014.0,130100,1.0
2014.0,100300,1.0
2014.0,140202,1.0
2014.0,160602,1.0
2014.0,090100,1.0
2014.0,040100,1.0
2014.0,101001,1.0
,000201,1.0
,000202,1.0
,000301,1.0
,000302,1.0
,000401,1.0
,000402,1.0
,000503,1.0
,000504,1.0
,010403,1.0
,010408,1.0
,010801,1.0
,010802,1.0
,040200,1.0
,050200,1.0
,050300,1.0
,050400,1.0
,050500,1.0
,051101,1.0
,051200,1.0
,060101,1.0
,060301,1.0
,060400,1.0
,060700,1.0
,061000,1.0
,061101,1.0
,070800,1.0
,080300,1.0
,080500,1.0
,080801,1.0
,080900,1.0
,081100,1.0
,081200,1.0
,081500,1.0
,081900,1.0
,082100,1.0
,090200,1.0
,090400,1.0
,091100,1.0
,091300,1.0
,091400,1.0
,091500,1.0
,091700,1.0
,091800,1.0
,092200,1.0
,100100,1.0
,100400,1.0
,100601,1.0
,100800,1.0
,100900,1.0
,101002,1.0
,101101,1.0
,110301,1.0
,110401,1.0
,110501,1.0
,110601,1.0
,120103,1.0
,120104,1.0
,120201,1.0
,120500,1.0
,120600,1.0
,130300,1.0
,140105,1.0
,140106,1.0
,140201,1.0
,140400,1.0
,160101,1.0
,160300,1.0
,160501,1.0
,160502,1.0
,160601,1.0
,170100,1.0
,170200,1.0
,170300,1.0
,170400,1.0
,170501,1.0
,170702,1.0
,170800,1.0
,180101,1.0
,180301,1.0
,180400,1.0
,180500,1.0
,980101,1.0
,980700,1.0
,981600,1.0
